zpid,street_address,zip_code,purchase_price,monthly_restimate,gross_rent_multiplier,year_built,bedrooms,bathrooms,annual_property_tax_rate,living_area,lot_size,home_type,annual_mortgage_rate,monthly_homeowners_insurance,monthly_hoa,city,image_url,property_url,home_features_score,is_waterfront
43245353,1000 Colony Point Cir APT 512,33026,249990.0,2199.0,9.47362437471578,1980,2,2,0.98,1021,1021,CONDO,6.204,87.49649999999998,684.0,Pembroke Pines,https://photos.zillowstatic.com/fp/a3d68453d2d6850614069c90ac3cfa44-o_a.jpg,https://zillow.com/homedetails/1000-Colony-Point-Cir-APT-512-Pembroke-Pines-FL-33026/43245353_zpid/,-0.19162829220294952,False
43244061,1001 Colony Point Cir APT 423,33026,275000.0,2400.0,9.54861111111111,1980,2,2,0.91,1187,1187,CONDO,6.61,96.25,748.0,Pembroke Pines,https://photos.zillowstatic.com/fp/1a8163642f17a832edc811d9cf9f6080-o_a.jpg,https://zillow.com/homedetails/1001-Colony-Point-Cir-APT-423-Pembroke-Pines-FL-33026/43244061_zpid/,-0.14065904915332794,True
43274631,900 Saint Charles Pl APT 419,33026,235000.0,2350.0,8.333333333333334,1980,2,2,0.91,1120,1120,CONDO,6.051,82.24999999999999,805.0,Pembroke Pines,https://photos.zillowstatic.com/fp/46546d936e16a1e7021360be920d187c-o_a.jpg,https://zillow.com/homedetails/900-Saint-Charles-Pl-APT-419-Pembroke-Pines-FL-33026/43274631_zpid/,-0.31055325269699097,True
43293424,301 NW 107th Ave,33026,599900.0,3954.0,12.643314786713876,1994,4,3,0.98,2083,4675,SINGLE_FAMILY,6.447,209.965,170.0,Pembroke Pines,https://photos.zillowstatic.com/fp/71dd93aafe763f5ab913f862400392a3-o_a.jpg,https://zillow.com/homedetails/301-NW-107th-Ave-Pembroke-Pines-FL-33026/43293424_zpid/,-0.08594543486833572,True
43293675,10827 NW 8th St #8U7,33026,240000.0,1800.0,11.11111111111111,1992,1,1,0.98,685,685,TOWNHOUSE,6.204,83.99999999999999,415.0,Pembroke Pines,https://photos.zillowstatic.com/fp/7a30566d08a6aa779556e170b81396d6-o_a.jpg,https://zillow.com/homedetails/10827-NW-8th-St-8U7-Pembroke-Pines-FL-33026/43293675_zpid/,-0.21382421255111694,False
43273849,1400 Saint Charles Pl PENTHOUSE 11,33026,149000.0,1749.0,7.099294835143891,1975,1,2,0.91,760,760,CONDO,5.966,52.15,590.0,Pembroke Pines,https://photos.zillowstatic.com/fp/568cda167921009209aca3eee8b77f25-o_a.jpg,https://zillow.com/homedetails/1400-Saint-Charles-Pl-PENTHOUSE-11-Pembroke-Pines-FL-33026/43273849_zpid/,-0.5454816818237305,False
43273926,1300 Saint Charles Pl APT 402,33026,199990.0,2169.0,7.683648378669125,1978,2,2,0.98,980,980,CONDO,6.224,69.9965,570.0,Pembroke Pines,https://photos.zillowstatic.com/fp/b73a86dfa8d5ca78c5b24eafea2935b4-o_a.jpg,https://zillow.com/homedetails/1300-Saint-Charles-Pl-APT-402-Pembroke-Pines-FL-33026/43273926_zpid/,-0.49852120876312256,False
43274458,1000 Saint Charles Pl APT 418,33026,219000.0,2350.0,7.76595744680851,1980,2,2,0.91,1120,1120,CONDO,6.027,76.64999999999999,814.0,Pembroke Pines,https://photos.zillowstatic.com/fp/45b89973fac99d60f328c1ee17ab4ed4-o_a.jpg,https://zillow.com/homedetails/1000-Saint-Charles-Pl-APT-418-Pembroke-Pines-FL-33026/43274458_zpid/,-0.6370141506195068,False
43243864,1100 Colony Point Cir APT 101,33026,260000.0,2400.0,9.027777777777779,1980,2,2,0.91,1187,1187,CONDO,6.641,91.0,749.0,Pembroke Pines,https://photos.zillowstatic.com/fp/92c00fe111f6665ce6c1e01a21b2821a-o_a.jpg,https://zillow.com/homedetails/1100-Colony-Point-Cir-APT-101-Pembroke-Pines-FL-33026/43243864_zpid/,-0.4598544239997864,True
43243287,12330 NW 14th St,33026,433000.0,2794.0,12.914578859460748,1987,2,3,0.91,1266,1266,TOWNHOUSE,6.634,151.54999999999998,186.0,Pembroke Pines,https://photos.zillowstatic.com/fp/be87fc65389e29e5421134c22509ba97-o_a.jpg,https://zillow.com/homedetails/12330-NW-14th-St-Pembroke-Pines-FL-33026/43243287_zpid/,-0.07577607780694962,False
